,Employee Id,Dependent Account Id
0,1025,1
1,1047,1
2,1113,4
3,1123,1
4,1141,1
5,1178,2
6,1190,3
7,1231,2
8,1250,1
9,1262,1
10,1274,2
11,1301,1
12,1458,1
13,1460,4
14,1482,1
15,1493,1
16,1501,2
17,1505,3
18,1544,2
19,1605,1
20,1636,3
21,1707,2
22,1739,1
23,1922,1
24,1931,2
25,2174,1
26,2233,2
27,2368,1
28,2661,2
29,3129,1
30,3184,1
31,3564,4
32,3843,1
33,4260,1
34,4407,3
35,6517,3
36,6849,2
37,6950,2
38,6960,3
39,7162,3
40,7181,1
41,7235,4
42,7240,1
43,7249,2
44,7357,2
45,7714,3
46,7724,2
47,7729,1
48,7787,3
49,8007,1
50,8584,1
51,8592,3
52,8598,2
53,8600,3
54,8601,3
55,8609,3
56,8610,4
57,8613,1
58,8618,2
59,8703,1
60,8767,3
61,8817,3
62,8821,1
63,8858,1
64,8866,1
65,8887,3
66,8907,2
67,8965,4
68,9049,5
69,9210,1
70,9240,3
71,9257,1
72,9422,1
73,9471,2
74,9588,5
75,9698,1
76,9798,1
77,10017,2
78,10051,2
79,10085,2
80,10375,2
81,10669,5
82,11443,1
83,11936,2
84,14483,1
85,14487,4
86,14552,3
87,14568,3
88,14599,1
89,14738,1
90,14786,1
91,14869,2
92,14871,4
93,14875,1
94,14881,3
95,14889,1
96,15039,7
97,15091,1
98,15159,3
99,15161,3
100,15336,1
101,15345,3
102,15346,1
103,15348,2
104,15350,1
105,15355,1
106,15356,2
107,15358,3
108,15372,1
109,15373,1
110,15377,4
111,15417,7
112,15468,1
113,15919,5
114,16027,3
115,16214,1
116,16224,2
117,16230,3
118,16231,2
119,16232,1
120,16233,2
121,16238,1
122,16239,1
123,16241,4
124,16247,4
125,16249,2
126,16367,1
127,16372,2
128,16381,1
129,16386,1
130,16396,1
131,16397,4
132,16421,1
133,16453,3
134,16456,2
135,16520,1
136,16578,3
137,16585,1
138,16602,2
139,16664,1
140,16892,3
141,16914,1
142,16917,1
143,17067,2
144,17075,1
145,17097,1
146,17157,1
147,17219,1
148,17221,1
149,17256,1
150,17372,2
151,17409,1
152,17450,2
153,17496,1
154,17546,1
155,17558,2
156,17640,4
157,17909,2
158,17920,3
159,17989,1
160,17995,1
161,18002,1
162,18302,3
163,18307,1
164,19126,1
165,21166,1
166,21928,1
167,22048,1
168,22116,5
169,22197,1
170,22229,3
171,22241,1
172,22300,3
173,22420,1
174,22430,2
175,22474,4
176,22477,1
177,22488,4
178,22501,2
179,22503,1
180,22507,2
181,22791,5
182,22940,3
183,22956,1
184,22974,3
185,22977,1
186,22979,2
187,22980,2
188,22987,2
189,22988,2
190,22991,1
191,23006,1
192,23014,1
193,23284,1
194,23854,1
195,23872,1
196,23878,2
197,23879,1
198,23898,1
199,23955,5
200,24104,4
201,24145,4
202,24150,1
203,24162,1
204,24192,1
205,24616,1
206,24664,1
207,24705,1
208,24814,2
209,24867,3
210,24992,1
211,25108,1
212,25200,2
213,25505,1
214,25642,1
215,25719,1
216,27062,2
217,27120,3
218,27160,1
219,27307,1
220,27311,4
221,27826,1
222,29063,5
223,29591,1
224,29630,2
225,29745,3
226,29789,4
227,30046,3
228,30060,1
229,30101,3
230,30106,3
231,30120,4
232,30135,3
233,30136,1
234,30150,1
235,30326,1
236,30405,2
237,30417,1
238,30555,1
239,30609,3
240,30611,1
241,30613,4
242,30619,2
243,30620,4
244,30641,1
245,30709,4
246,30931,1
247,30971,2
248,31047,3
249,31478,1
250,31484,1
251,31494,2
252,31496,2
253,31501,1
254,31502,3
255,31503,4
256,31505,2
257,31506,1
258,31508,3
259,31509,4
260,31566,2
261,31567,1
262,31570,4
263,31574,3
264,31575,2
265,31591,1
266,31598,1
267,31601,4
268,31602,2
269,31606,1
270,31613,2
271,31687,2
272,31688,2
273,31691,2
274,31703,1
275,31715,3
276,31717,2
277,31737,1
278,31772,1
279,35477,5
280,39979,1
281,41507,2
282,43934,3
283,44490,6
284,45134,2
285,45896,1
286,46134,4
287,46892,4
288,47222,2
289,51438,1
290,76916,1
291,77526,2
292,77559,2
293,77663,1
294,77814,3
295,78040,2
296,78608,4
297,78617,2
298,80826,3
299,81785,2
300,83927,5
301,85129,2
302,85943,1
303,86728,3
304,86772,1
305,86783,3
306,87604,3
307,90782,1
308,92294,1
309,93210,3
310,93671,2
311,93918,3
312,94035,1
313,94315,1
314,95548,2
315,95594,2
316,95995,2
317,96117,3
318,96738,3
319,97461,3
320,97521,1
321,97547,1
322,97892,3
323,97904,2
324,99360,1
325,99769,4
326,99876,4
327,101424,4
328,101644,3
329,101964,2
330,102034,4
331,103227,1
332,103736,1
333,104006,1
334,104418,2
335,105909,3
336,106120,1
337,106766,1
338,107125,1
339,107205,1
340,107877,1
341,107994,1
342,108007,1
343,108270,8
344,109354,2
345,110122,2
346,111261,2
347,111273,3
348,111628,1
349,114508,3
350,115248,1
351,115879,1
352,115880,1
353,115963,2
354,116236,1
355,117507,1
356,117509,2
357,117545,4
358,117571,3
359,117743,2
360,117895,2
361,118208,4
362,118492,1
363,118521,1
364,119726,2
365,120229,2
366,121306,1
367,122788,2
368,124651,1
369,124943,2
370,125354,2
371,125654,1
372,125793,4
373,126039,2
374,126093,1
375,126283,1
376,127368,1
377,127983,1
378,129692,5
379,130414,2
380,131130,3
381,131440,1
382,131647,1
383,131667,2
384,131714,1
385,131732,1
386,131805,1
387,131807,1
388,131940,6
389,132489,3
390,132558,1
391,132704,3
392,133232,2
393,133235,3
394,133244,2
395,133255,1
396,133362,1
397,133371,1
398,133375,2
399,133376,2
400,133378,3
401,133504,6
402,133505,4
403,133506,2
404,133507,3
405,133510,3
406,133540,1
407,133543,2
408,133723,1
409,134029,1
410,134649,1
411,134680,2
412,135072,2
413,135077,2
414,135227,1
415,135604,2
416,135630,3
417,135644,3
418,135724,2
419,135731,1
420,135762,1
421,135765,2
422,135849,2
423,135866,1
424,135902,1
425,135910,1
426,135929,1
427,135933,3
428,135967,1
429,136081,1
430,136082,1
431,136091,3
432,136109,1
433,136272,1
434,136310,2
435,136387,3
436,136396,1
437,136435,1
438,136438,1
439,136494,3
440,136506,1
441,136515,1
442,136665,3
443,136666,5
444,136691,1
445,136694,1
446,136770,1
447,136888,2
448,136893,3
449,136898,1
450,136910,1
451,136941,1
452,136954,1
453,136970,1
454,136975,3
455,136983,1
456,137603,3
457,137796,1
458,137962,3
459,137964,3
460,137965,3
461,138286,1
462,138359,3
463,139156,1
464,139162,1
465,139350,1
466,139653,1
467,139991,1
468,140496,3
469,141355,6
470,142567,1
471,143437,1
472,143495,1
473,145096,3
474,145531,1
475,146528,2
476,146674,1
477,147207,4
478,148071,1
479,148121,2
480,148472,3
481,149085,1
482,149722,3
483,149951,3
484,149993,1
485,150444,3
486,150719,1
487,150927,2
488,150947,4
489,151112,3
490,151589,3
491,151876,5
492,151928,1
493,152418,4
494,152468,4
495,152640,2
496,153136,1
497,153281,3
498,153297,2
499,153308,1
500,153424,3
501,155468,3
502,155723,4
503,155739,3
504,158313,1
505,158855,2
506,159655,3
507,159676,2
508,159702,1
509,161206,4
510,163872,2
511,164300,3
512,165402,3
513,165644,1
514,166509,5
515,166619,4
516,166952,1
517,167049,1
518,167065,2
519,167674,1
520,167893,3
521,167989,3
522,168521,1
523,169047,2
524,169075,2
525,169247,1
526,169366,6
527,169594,1
528,169687,2
529,170783,1
530,172043,1
531,174445,2
532,174533,1
533,175635,3
534,176195,4
535,177272,2
536,177295,2
537,177626,1
538,178212,1
539,178279,1
540,178683,1
541,178864,1
542,179353,1
543,179676,2
544,179699,1
545,179815,1
546,179820,1
547,180335,4
548,180513,2
549,180882,1
550,180883,2
551,181087,5
552,182438,1
553,182461,1
554,183866,1
555,183976,1
556,185808,1
557,186649,1
